Mean,Median,Variance,Standard Deviation,SEM
40.14839249965855,40.71642815,25.43405792007253,5.043219003778493,0.35223369404397703
53.83155936019609,52.84755893,34.725751750793385,5.892855992707898,0.4764091704801702
54.173160322418305,53.24445813,38.32608453809105,6.190806452966451,0.500497037516394
56.805520714171784,56.09899820000001,60.48514268729451,7.777219470176633,0.6091588421865654
55.78056538167703,54.23450181,60.794406499061395,7.797076791917686,0.6144957357955712
55.48127001493593,53.35452754,55.76238672914699,7.467421692200528,0.5978722246280651
53.66860939529412,52.663800550000005,38.4389819037821,6.19991789492265,0.5316385734894781
39.62767426211823,39.7695521,23.21312726436441,4.818000338767569,0.3381573311531669
55.644585928025485,54.32831664,53.476332824201144,7.312751385367968,0.583621097003461
54.54805218082802,53.28728681,43.708156839232245,6.611214475361713,0.5276323563188675
